id,objectid,id_dto.x,nombre,tipo,estrategia,politica,lineas_acc,zn_fun_mic,pn_pol_rie,sup_ha,ID.PROYECTO,NOMBRE.PROYECTO,DESCRIPCIÓN.GENERAL,id_dto.y,RESPONSABLE.MUNICIPAL,INSTANCIAS.COORDINACION.ESTATAL,INSTANCIAS.COORDINACION.FEDERAL,SUBSISTEMA
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_38,Chiquimitío,Equipamiento para la seguridad publica,DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_38,Chiquimitío,"Edificación para el acopio, intercambio y distribucion de mercancia. ",DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_39,Cuto de la Esperanza,Unidad medica familiar,DR-66,Secretaría de Urbanismo y Obras Públicas (SUOP),"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_39,Cuto de la Esperanza,Centro de asistencia socialc,DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_39,Cuto de la Esperanza,"Edificación para la seguridad publica,",DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_39,Cuto de la Esperanza,centro de desarrollo comunitario.,DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_39,Cuto de la Esperanza,"Edificación para para el acopio, intercambio y comercio de productos y servicios.",DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_39,Cuto de la Esperanza,Equipamiento en parques y jardines,DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_40,San Miguel del Monte,Unidad medica familiar,DR-66,Secretaría de Urbanismo y Obras Públicas (SUOP),"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_40,San Miguel del Monte,Edificación para el intercambio y ditribucion de productos del campo,DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
